tag	pool	phase	epoch	source	metric	value
r1-p12	12	pre	1788702783	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788702783	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788702783	mysql	Threads_connected	13
r1-p12	12	pre	1788702783	mysql	Threads_running	2
r1-p12_post	12	post	1788702793	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15013
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	130.105129276
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.160349689
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15013
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	70.631
r1-p12_post	12	post	1788702793	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.089
r1-p12_post	12	post	1788702793	mysql	Innodb_row_lock_time	0
r1-p12_post	12	post	1788702793	mysql	Innodb_row_lock_waits	0
r1-p12_post	12	post	1788702793	mysql	Threads_connected	13
r1-p12_post	12	post	1788702793	mysql	Threads_running	2
r1-p15	15	pre	1788702807	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788702807	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788702807	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001029669
r1-p15	15	pre	1788702807	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	9.57466E-4
r1-p15	15	pre	1788702807	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788702807	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15	15	pre	1788702807	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788702807	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
