tag	pool	phase	epoch	source	metric	value
r1-p12	12	pre	1788693322	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788693322	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788693322	mysql	Threads_connected	13
r1-p12	12	pre	1788693322	mysql	Threads_running	2
r1-p12_post	12	post	1788693332	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15009
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	38.644547646
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.068449796
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15009
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	39.536
r1-p12_post	12	post	1788693332	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.063
r1-p12_post	12	post	1788693332	mysql	Innodb_row_lock_time	0
r1-p12_post	12	post	1788693332	mysql	Innodb_row_lock_waits	0
r1-p12_post	12	post	1788693332	mysql	Threads_connected	13
r1-p12_post	12	post	1788693332	mysql	Threads_running	2
r1-p15	15	pre	1788693345	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788693345	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	5.80021E-4
r1-p15	15	pre	1788693345	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	5.17008E-4
r1-p15	15	pre	1788693345	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788693345	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788693345	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.018
r1-p15	15	pre	1788693345	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.014
r1-p15	15	pre	1788693345	mysql	Innodb_row_lock_time	0
r1-p15	15	pre	1788693345	mysql	Innodb_row_lock_waits	0
r1-p15	15	pre	1788693345	mysql	Threads_connected	16
r1-p15	15	pre	1788693345	mysql	Threads_running	2
r1-p15_post	15	post	1788693354	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	25.29488136
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.056631524
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	45.287
r1-p15_post	15	post	1788693354	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.062
r1-p15_post	15	post	1788693354	mysql	Innodb_row_lock_time	0
r1-p15_post	15	post	1788693354	mysql	Innodb_row_lock_waits	0
r1-p15_post	15	post	1788693354	mysql	Threads_connected	16
r1-p15_post	15	post	1788693354	mysql	Threads_running	2
r1-p17	17	pre	1788693368	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788693368	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	5.38457E-4
r1-p17	17	pre	1788693368	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	4.73453E-4
r1-p17	17	pre	1788693368	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_idle{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_max{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_min{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788693368	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788693368	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p17	17	pre	1788693368	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p17	17	pre	1788693368	mysql	Innodb_row_lock_time	0
r1-p17	17	pre	1788693368	mysql	Innodb_row_lock_waits	0
r1-p17	17	pre	1788693368	mysql	Threads_connected	18
r1-p17	17	pre	1788693368	mysql	Threads_running	2
r1-p17_post	17	post	1788693377	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r1-p17_post	17	post	1788693377	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p17_post	17	post	1788693377	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	23.639356339
