dataset	rep	cardinality	plans
skew_t1_f7_uni	1	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99792', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100002', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '13232', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '14721', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '16999', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '53665', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '101644', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '26', 'session_reports.PRIMARY.n_diff_pfx01': '19828', 'session_reports.member_id.n_diff_pfx01': '12426', 'session_reports.member_id.n_diff_pfx02': '25939', 'session_reports.uk_report_session.n_diff_pfx01': '24277'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_uni	2	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99970', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '11253', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '16965', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '13649', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '49745', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '99161', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '20900', 'session_reports.member_id.n_diff_pfx01': '12880', 'session_reports.member_id.n_diff_pfx02': '26062', 'session_reports.uk_report_session.n_diff_pfx01': '24909'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_uni	3	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99831', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '97768', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '14627', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '14344', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '14275', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '44779', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '100185', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '18220', 'session_reports.member_id.n_diff_pfx01': '12636', 'session_reports.member_id.n_diff_pfx02': '25334', 'session_reports.uk_report_session.n_diff_pfx01': '25314'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_uni	4	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99990', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '12610', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '15683', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '13441', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '47667', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '101580', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '26', 'session_reports.PRIMARY.n_diff_pfx01': '21703', 'session_reports.member_id.n_diff_pfx01': '13062', 'session_reports.member_id.n_diff_pfx02': '25194', 'session_reports.uk_report_session.n_diff_pfx01': '25413'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_uni	5	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99970', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '14212', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '12233', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '14233', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '56037', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '101824', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '26', 'session_reports.PRIMARY.n_diff_pfx01': '19828', 'session_reports.member_id.n_diff_pfx01': '12462', 'session_reports.member_id.n_diff_pfx02': '26241', 'session_reports.uk_report_session.n_diff_pfx01': '25971'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_skew	1	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99734', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '13253', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '12711', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '13303', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '37981', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '100044', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '57577', 'session_reports.member_id.n_diff_pfx01': '14003', 'session_reports.member_id.n_diff_pfx02': '69580', 'session_reports.uk_report_session.n_diff_pfx01': '71971'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_skew	2	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99881', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '15258', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '12691', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '13788', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '32922', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '99366', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '58335', 'session_reports.member_id.n_diff_pfx01': '14016', 'session_reports.member_id.n_diff_pfx02': '69939', 'session_reports.uk_report_session.n_diff_pfx01': '70756'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_skew	3	{'exercise_sessions.PRIMARY.n_diff_pfx01': '100048', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '16942', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '17303', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '13891', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '32051', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '99852', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '25', 'session_reports.PRIMARY.n_diff_pfx01': '58335', 'session_reports.member_id.n_diff_pfx01': '14208', 'session_reports.member_id.n_diff_pfx02': '69856', 'session_reports.uk_report_session.n_diff_pfx01': '70638'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_skew	4	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99839', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '97768', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '18225', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '13593', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '11568', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '35931', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '98086', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '61365', 'session_reports.member_id.n_diff_pfx01': '14080', 'session_reports.member_id.n_diff_pfx02': '69484', 'session_reports.uk_report_session.n_diff_pfx01': '70207'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f7_skew	5	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99442', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '11548', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '13874', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '14288', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '33674', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '6', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '100403', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '27', 'session_reports.PRIMARY.n_diff_pfx01': '57577', 'session_reports.member_id.n_diff_pfx01': '14316', 'session_reports.member_id.n_diff_pfx02': '69593', 'session_reports.uk_report_session.n_diff_pfx01': '73522'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f50_uni	1	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99891', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '15526', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '12565', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '14021', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '45454', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '9760', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '99752', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '9699', 'session_reports.PRIMARY.n_diff_pfx01': '20829', 'session_reports.member_id.n_diff_pfx01': '11780', 'session_reports.member_id.n_diff_pfx02': '23275', 'session_reports.uk_report_session.n_diff_pfx01': '24517'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f50_uni	2	{'exercise_sessions.PRIMARY.n_diff_pfx01': '99851', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '100282', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '14934', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '16478', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '14587', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '50444', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '9329', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '102088', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '10424', 'session_reports.PRIMARY.n_diff_pfx01': '20562', 'session_reports.member_id.n_diff_pfx01': '13109', 'session_reports.member_id.n_diff_pfx02': '24393', 'session_reports.uk_report_session.n_diff_pfx01': '25411'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
skew_t1_f50_uni	3	{'exercise_sessions.PRIMARY.n_diff_pfx01': '95673', 'exercise_sessions.exercise_id.n_diff_pfx01': '0', 'exercise_sessions.exercise_id.n_diff_pfx02': '97768', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx01': '14952', 'exercise_sessions.idx_session_member_exercise_status_start.n_diff_pfx02': '15706', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx01': '15689', 'exercise_sessions.idx_session_member_status_start.n_diff_pfx02': '48218', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx01': '9938', 'exercise_sessions.idx_session_starttime_member.n_diff_pfx02': '97310', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx01': '3', 'exercise_sessions.idx_session_status_starttime.n_diff_pfx02': '10385', 'session_reports.PRIMARY.n_diff_pfx01': '18960', 'session_reports.member_id.n_diff_pfx01': '11372', 'session_reports.member_id.n_diff_pfx02': '23920', 'session_reports.uk_report_session.n_diff_pfx01': '26337'}	{'T1.Q2cur.heavy': 'r(member_id)', 'T1.Q2cur.mid': 'r(member_id)', 'T1.Q2cur.light': 'r(member_id)'}
