dataset	target	arm	query	driving	max_q_access	max_q_all	handler	top_ms	nodes(est/act x loops q)
skew_t1_f7_uni	T1	S0	T1.Q2cur.heavy	r(member_id)	1.0	2.0	158	0.0797	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S0	T1.Q2n3.heavy	s(idx_session_member_status_start)	1.0	1.0	158	0.0862	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3cur.heavy	r(member_id)	1.0	2.0	14	0.0589	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3n3.heavy	s(idx_session_member_status_start)	1.0	1.0	14	0.075	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S0	T1.Q2cur.mid	r(member_id)	1.0	1.0	95	0.0534	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S0	T1.Q2n3.mid	s(idx_session_member_status_start)	1.0	1.0	95	0.11	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3cur.mid	r(member_id)	1.0	1.0	8	0.0623	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3n3.mid	s(idx_session_member_status_start)	1.0	1.0	8	0.0638	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S0	T1.Q2cur.light	r(member_id)	1.0	2.0	221	0.077	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S0	T1.Q2n3.light	s(idx_session_member_status_start)	1.0	1.0	221	0.0823	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3cur.light	r(member_id)	1.0	2.0	20	0.0793	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S0	T1.Q3n3.light	s(idx_session_member_status_start)	1.0	1.0	20	0.0883	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2cur.heavy	r(member_id)	1.0	2.0	158	0.0776	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2n3.heavy	s(idx_session_member_status_start)	1.0	1.0	158	0.145	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3cur.heavy	r(member_id)	1.0	2.0	14	0.0736	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3n3.heavy	s(idx_session_member_status_start)	1.0	1.0	14	0.0822	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2cur.mid	r(member_id)	1.0	1.0	95	0.049	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2n3.mid	s(idx_session_member_status_start)	1.0	1.0	95	0.0708	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3cur.mid	r(member_id)	1.0	1.0	8	0.0484	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3n3.mid	s(idx_session_member_status_start)	1.0	1.0	8	0.0683	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2cur.light	r(member_id)	1.0	2.0	221	0.0791	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S1	T1.Q2n3.light	s(idx_session_member_status_start)	1.0	1.0	221	0.0889	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3cur.light	r(member_id)	1.0	2.0	20	0.077	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S1	T1.Q3n3.light	s(idx_session_member_status_start)	1.0	1.0	20	0.113	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2cur.heavy	r(member_id)	1.0	2.0	158	0.0718	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2n3.heavy	s(idx_session_member_status_start)	1.0	1.0	158	0.0751	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3cur.heavy	r(member_id)	1.0	2.0	14	0.0574	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3n3.heavy	s(idx_session_member_status_start)	1.0	1.0	14	0.0716	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2cur.mid	r(member_id)	1.0	1.0	95	0.0458	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2n3.mid	s(idx_session_member_status_start)	1.0	1.0	95	0.103	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3cur.mid	r(member_id)	1.0	1.0	8	0.0485	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3n3.mid	s(idx_session_member_status_start)	1.0	1.0	8	0.0569	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2cur.light	r(member_id)	1.0	2.0	221	0.0783	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S2	T1.Q2n3.light	s(idx_session_member_status_start)	1.0	1.0	221	0.0963	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3cur.light	r(member_id)	1.0	2.0	20	0.0645	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S2	T1.Q3n3.light	s(idx_session_member_status_start)	1.0	1.0	20	0.0707	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2cur.heavy	r(member_id)	1.0	2.0	158	0.0874	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2n3.heavy	s(idx_session_member_status_start)	1.0	1.0	158	0.0936	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3cur.heavy	r(member_id)	1.0	2.0	14	0.0567	Nested loop inner join 1/2x1 q2.0 ; r:member_id 2/2x1 q1.0 ; Filter 0.5/1x2 q2.0 ; s:PRIMARY 1/1x2 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3n3.heavy	s(idx_session_member_status_start)	1.0	1.0	14	0.0726	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2cur.mid	r(member_id)	1.0	1.0	95	0.0609	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2n3.mid	s(idx_session_member_status_start)	1.0	1.0	95	0.0963	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3cur.mid	r(member_id)	1.0	1.0	8	0.0598	Nested loop inner join 0.5/1x1 q1.0 ; r:member_id 1/1x1 q1.0 ; Filter 0.5/1x1 q1.0 ; s:PRIMARY 1/1x1 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3n3.mid	s(idx_session_member_status_start)	1.0	1.0	8	0.0682	Nested loop inner join 1/1x1 q1.0 ; Filter 1/1x1 q1.0 ; s:idx_session_member_status_start 1/1x1 q1.0 ; r:uk_report_session 1/1x1 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2cur.light	r(member_id)	1.0	2.0	221	0.0807	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S3	T1.Q2n3.light	s(idx_session_member_status_start)	1.0	1.0	221	0.0952	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3cur.light	r(member_id)	1.0	2.0	20	0.0734	Nested loop inner join 1.5/3x1 q2.0 ; r:member_id 3/3x1 q1.0 ; Filter 0.5/1x3 q2.0 ; s:PRIMARY 1/1x3 q1.0
skew_t1_f7_uni	T1	S3	T1.Q3n3.light	s(idx_session_member_status_start)	1.0	1.0	20	0.0758	Nested loop inner join 3/3x1 q1.0 ; Filter 3/3x1 q1.0 ; s:idx_session_member_status_start 3/3x1 q1.0 ; r:uk_report_session 1/1x3 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2cur.heavy	r(member_id)	1.0	2.0	410	0.0975	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	411	0.0628	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3cur.heavy	r(member_id)	1.0	2.0	37	0.0491	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	38	0.0566	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2cur.mid	r(member_id)	1.0	2.0	284	0.299	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.139	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3cur.mid	r(member_id)	1.0	2.0	26	0.108	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.0837	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2cur.light	r(member_id)	1.0	2.0	284	0.0729	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q2n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.097	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3cur.light	r(member_id)	1.0	2.0	26	0.0844	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S0	T1.Q3n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.137	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2cur.heavy	r(member_id)	1.0	2.0	410	0.126	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	411	0.41	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3cur.heavy	r(member_id)	1.0	2.0	37	0.144	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	38	0.0943	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2cur.mid	r(member_id)	1.0	2.0	284	0.128	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.114	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3cur.mid	r(member_id)	1.0	2.0	26	0.139	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.0867	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2cur.light	r(member_id)	1.0	2.0	284	0.0866	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q2n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.107	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3cur.light	r(member_id)	1.0	2.0	26	0.0618	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S1	T1.Q3n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.134	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2cur.heavy	r(member_id)	1.0	2.0	410	0.128	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	411	0.179	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3cur.heavy	r(member_id)	1.0	2.0	37	0.0898	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	38	0.217	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2cur.mid	r(member_id)	1.0	2.0	284	0.0769	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.0983	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3cur.mid	r(member_id)	1.0	2.0	26	0.0499	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.155	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2cur.light	r(member_id)	1.0	2.0	284	0.0741	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q2n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.0875	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3cur.light	r(member_id)	1.0	2.0	26	0.068	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S2	T1.Q3n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.263	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2cur.heavy	r(member_id)	1.0	2.0	410	0.105	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	411	0.161	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3cur.heavy	r(member_id)	1.0	2.0	37	0.0929	Nested loop inner join 3/6x1 q2.0 ; r:member_id 6/6x1 q1.0 ; Filter 0.5/1x6 q2.0 ; s:PRIMARY 1/1x6 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3n3.heavy	s(idx_session_member_exercise_status_start)	1.0	1.7	38	0.0563	Nested loop inner join 3.5/6x1 q1.7 ; Filter 3.5/6x1 q1.7 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x6 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2cur.mid	r(member_id)	1.0	2.0	284	0.13	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.112	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3cur.mid	r(member_id)	1.0	2.0	26	0.0525	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3n3.mid	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.0887	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2cur.light	r(member_id)	1.0	2.0	284	0.0777	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q2n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	287	0.197	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3cur.light	r(member_id)	1.0	2.0	26	0.0457	Nested loop inner join 2/4x1 q2.0 ; r:member_id 4/4x1 q1.0 ; Filter 0.5/1x4 q2.0 ; s:PRIMARY 1/1x4 q1.0
skew_t1_f7_skew	T1	S3	T1.Q3n3.light	s(idx_session_member_exercise_status_start)	1.0	1.1	29	0.108	Nested loop inner join 3.5/4x1 q1.1 ; Filter 3.5/4x1 q1.1 ; s:idx_session_member_exercise_status_start 7/7x1 q1.0 ; r:uk_report_session 1/1x4 q1.0
skew_t1_f50_uni	T1	S0	T1.Q2cur.heavy	r(member_id)	1.0	3.0	178	0.145	Nested loop inner join 6/2x1 q3.0 ; r:member_id 12/12x1 q1.0 ; Filter 0.5/0.167x12 q3.0 ; s:PRIMARY 1/1x12 q1.0
skew_t1_f50_uni	T1	S0	T1.Q2n3.heavy	s(idx_session_member_status_start)	1.0	1.0	158	0.0494	Nested loop inner join 2/2x1 q1.0 ; Filter 2/2x1 q1.0 ; s:idx_session_member_status_start 2/2x1 q1.0 ; r:uk_report_session 1/1x2 q1.0
skew_t1_f50_uni	T1	S0	T1.Q3cur.heavy	r(member_id)	1.0	3.0	34	0.124	Nested loop inner join 6/2x1 q3.0 ; r:member_id 12/12x1 q1.0 ; Filter 0.5/0.167x12 q3.0 ; s:PRIMARY 1/1x12 q1.0
